date,description,f_start,f_end,condition,t_interval,data_path,promoter,vector,cell_detection_offset,experimental_setup,time_threshold_h,replica
20230228,acetate,0,400,acetate005,12,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230228/curated_data/6300_ch_curated,6300,ch,105,1,2,1
20230428,acetate,0,400,acetate005,12,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230428/curated_data/6300_ch_curated,6300,ch,125,1,2,2
20230228,acetate,0,400,acetate005,12,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230228/curated_data/hi1_ch_curated,hi1,ch,105,1,2,1
20230428,acetate,0,400,acetate005,12,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230428/curated_data/hi1_ch_curated,hi1,ch,125,1,2,2
20230223,acetate,0,400,acetate005,12,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230223/curated_data/hi3_ch_curated,hi3,ch,105,1,2,1
20230228,acetate,0,400,acetate005,12,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230228/curated_data/hi3_ch_curated,hi3,ch,115,1,2,2
20230428,acetate,0,400,acetate005,12,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230428/curated_data/hi3_ch_curated,hi3,ch,125,1,2,3
20230223,acetate,0,400,acetate005,12,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230223/curated_data/med2_ch_curated,med2,ch,105,1,2,1
20230228,acetate,0,400,acetate005,12,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230228/curated_data/med2_ch_curated,med2,ch,115,1,2,2
20230428,acetate,0,400,acetate005,12,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230428/curated_data/med2_ch_curated,med2,ch,125,1,2,3
20221121,acetate,0,220,acetate005,12,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20221121/curated_data/med3_ch_curated,med3,ch,110,3,2,1
20230428,acetate,0,400,acetate005,12,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230428/curated_data/med3_ch_curated,med3,ch,125,1,2,3
20230228,acetate,0,400,acetate005,12,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230228/curated_data/rplN_ch_curated,rplN,ch,105,1,2,1
20230428,acetate,0,400,acetate005,12,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230428/curated_data/rplN_ch_curated,rplN,ch,125,1,2,2
20230228,acetate,0,250,acetate005,12,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230228/curated_data/rrnB_ch_curated,rrnB,ch,105,1,2,1
20230428,acetate,0,400,acetate005,12,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230428/curated_data/rrnB_ch_curated,rrnB,ch,125,1,2,2
20190730,glycerol,241,Inf,glycerol040,6,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20190730/curated_data/6300_ch_curated,6300,ch,105,1,6,1
20230413,glycerol,440,Inf,glycerol040,6,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230413/curated_data/6300_ch_curated,6300,ch,125,1,6,2
20190515,glycerol,440,Inf,glycerol040,6,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20190515/curated_data/hi1_ch_curated,hi1,ch,105,1,6,1
20230413,glycerol,440,Inf,glycerol040,6,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230413/curated_data/hi1_ch_curated,hi1,ch,125,1,6,2
20190529,glycerol,220,Inf,glycerol040,6,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20190529/curated_data/hi3_ch_curated,hi3,ch,105,1,6,1
20230413,glycerol,440,Inf,glycerol040,6,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230413/curated_data/hi3_ch_curated,hi3,ch,125,1,6,2
20190515,glycerol,440,Inf,glycerol040,6,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20190515/curated_data/med2_ch_curated,med2,ch,105,1,6,1
20230413,glycerol,440,Inf,glycerol040,6,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230413/curated_data/med2_ch_curated,med2,ch,125,1,6,2
20190529,glycerol,220,Inf,glycerol040,6,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20190529/curated_data/med3_ch_curated,med3,ch,105,1,6,1
20230420,glycerol,440,Inf,glycerol040,6,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230420/curated_data/med3_ch_curated,med3,ch,125,1,6,2
20190529,glycerol,220,Inf,glycerol040,6,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20190529/curated_data/rplN_ch_curated,rplN,ch,105,1,6,1
20230413,glycerol,440,Inf,glycerol040,6,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230413/curated_data/rplN_ch_curated,rplN,ch,125,1,6,2
20190730,glycerol,241,Inf,glycerol040,6,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20190730/curated_data/rrnB_ch_curated,rrnB,ch,105,1,6,1
20230413,glycerol,440,Inf,glycerol040,6,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230413/curated_data/rrnB_ch_curated,rrnB,ch,125,1,6,2
20190730,glucose,0,241,glucose020,3,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20190730/curated_data/6300_ch_curated,6300,ch,105,1,2,1
20230413,glucose,0,440,glucose020,3,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230413/curated_data/6300_ch_curated,6300,ch,125,1,2,2
20190515,glucose,0,440,glucose020,3,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20190515/curated_data/hi1_ch_curated,hi1,ch,105,1,2,1
20230413,glucose,0,440,glucose020,3,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230413/curated_data/hi1_ch_curated,hi1,ch,125,1,2,2
20190529,glucose,0,220,glucose020,3,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20190529/curated_data/hi3_ch_curated,hi3,ch,105,1,2,1
20230413,glucose,0,440,glucose020,3,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230413/curated_data/hi3_ch_curated,hi3,ch,125,1,2,2
20190515,glucose,0,440,glucose020,3,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20190515/curated_data/med2_ch_curated,med2,ch,105,1,2,1
20230413,glucose,0,440,glucose020,3,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230413/curated_data/med2_ch_curated,med2,ch,125,1,2,2
20190529,glucose,0,220,glucose020,3,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20190529/curated_data/med3_ch_curated,med3,ch,105,1,2,1
20230420,glucose,0,440,glucose020,3,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230420/curated_data/med3_ch_curated,med3,ch,125,1,2,2
20190529,glucose,0,220,glucose020,3,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20190529/curated_data/rplN_ch_curated,rplN,ch,105,1,2,1
20230413,glucose,0,440,glucose020,3,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230413/curated_data/rplN_ch_curated,rplN,ch,125,1,2,2
20190730,glucose,0,241,glucose020,3,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20190730/curated_data/rrnB_ch_curated,rrnB,ch,105,1,2,1
20230413,glucose,0,440,glucose020,3,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230413/curated_data/rrnB_ch_curated,rrnB,ch,125,1,2,2
20230302,glucoseaa,0,Inf,glucoseaa020,1.5,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230302/curated_data/6300_ch_curated,6300,ch,130,3,2,1
20220921,glucoseaa,0,Inf,glucoseaa020,1.5,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20220921/curated_data/hi1_ch_curated,hi1,ch,120,3,2,1
20230302,glucoseaa,0,Inf,glucoseaa020,1.5,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230302/curated_data/hi1_ch_curated,hi1,ch,130,3,2,2
20221111,glucoseaa,0,Inf,glucoseaa020,1.5,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20221111/curated_data/hi3_ch_curated,hi3,ch,110,3,2,1
20230302,glucoseaa,0,Inf,glucoseaa020,1.5,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230302/curated_data/hi3_ch_curated,hi3,ch,130,3,2,2
20220921,glucoseaa,0,Inf,glucoseaa020,1.5,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20220921/curated_data/med2_ch_curated,med2,ch,120,3,2,1
20230302,glucoseaa,0,Inf,glucoseaa020,1.5,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230302/curated_data/med2_ch_curated,med2,ch,140,3,2,2
20221111,glucoseaa,0,Inf,glucoseaa020,1.5,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20221111/curated_data/med3_ch_curated,med3,ch,110,3,2,1
20230302,glucoseaa,0,Inf,glucoseaa020,1.5,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230302/curated_data/med3_ch_curated,med3,ch,140,3,2,2
20221111,glucoseaa,0,Inf,glucoseaa020,1.5,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20221111/curated_data/rplN_ch_curated,rplN,ch,110,3,2,1
20230302,glucoseaa,0,Inf,glucoseaa020,1.5,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230302/curated_data/rplN_ch_curated,rplN,ch,140,3,2,2
20220921,glucoseaa,0,Inf,glucoseaa020,1.5,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20220921/curated_data/rrnB_ch_curated,rrnB,ch,120,3,2,1
20230302,glucoseaa,0,Inf,glucoseaa020,1.5,/scicore/home/nimwegen/rocasu25/MM_Data/Dany/20230302/curated_data/rrnB_ch_curated,rrnB,ch,140,3,2,2
